lga_name,latitude,longitude,event_count,total_fatalities,risk_score
Jalingo,8.942569869397667,11.335068689202034,0.0,0.0,0.0
Girei,9.441102407187163,12.481997420613851,0.0,0.0,0.0
Yola North,9.250808484506303,12.448496392927467,0.0,0.0,0.0
Yola South,9.255493873222536,12.347766963753827,0.0,0.0,0.0
Lau,9.178904985054212,11.402931871543496,0.0,0.0,0.0
Donga,7.635114617516797,10.249419638554318,0.0,0.0,0.0
Machina,13.02845795638315,9.984632711008526,0.0,0.0,0.0
Nguru,12.960934705230471,10.386259075751171,0.0,0.0,0.0
Alkaleri,9.873148423002965,10.48085709617739,0.0,0.0,0.0
Takum,7.116041161961971,9.906192804124565,0.0,0.0,0.0
Ussa,7.13347994904462,10.060985182283662,0.0,0.0,0.0
Damboa,11.110470464009547,12.678793305818587,8.0,30.0,0.6
Numan,9.446106306164404,11.80076791991823,0.0,0.0,0.0
Biu,10.810824041064082,12.108425784886702,4.0,6.0,0.1
Dikwa,11.924452224405055,14.048743533256477,8.0,28.0,0.5
Lamurde,9.562568063201661,11.695038376100747,0.0,0.0,0.0
Monguno,12.551386995357069,13.65033843246318,5.0,86.0,1.4
Ngala,12.293084600853552,14.157351096829858,14.0,60.0,1.1
Gubio,12.65818779150475,12.768506356196148,5.0,42.0,0.7
Chibok,10.844838190382635,12.855777620147517,3.0,17.0,0.3
Gashaka,7.494427074157284,11.37312285785527,0.0,0.0,0.0
Bauchi,10.236470484869468,9.904758683348136,0.0,0.0,0.0
Hawul,10.471410854409907,12.25944069311449,1.0,0.0,0.0
Mayo-Belwa,8.99869583763379,11.959366614663278,0.0,0.0,0.0
Mubi South,10.179471153976273,13.306845707685197,1.0,3.0,0.1
Fune,11.878008548475833,11.42459521902597,1.0,0.0,0.0
Mobbar,13.09743933703855,12.702922891121428,7.0,40.0,0.7
Potiskum,11.681445340560893,11.146223060940105,0.0,0.0,0.0
Gwoza,11.151787933702542,13.531671888870635,53.0,240.0,4.4
Guzamala,12.865891453105705,13.198028848588917,1.0,3.0,0.1
Maiha,9.850272050564678,13.16244253243227,0.0,0.0,0.0
Gulani,10.9663865018589,11.703742942123105,0.0,0.0,0.0
Zing,8.889781116143318,11.728342085441826,0.0,0.0,0.0
Fufore,9.19846290472258,12.642584144513043,0.0,0.0,0.0
Kaga,11.606925154927602,12.51716840029826,8.0,10.0,0.2
Karim Lamido,9.177411616096315,10.874258782556895,0.0,0.0,0.0
Kukawa,13.060089528392135,13.718860511374302,37.0,601.0,10.0
Gombi,10.189297809057178,12.472524823540077,0.0,0.0,0.0
Guyuk,9.84082721345735,11.907126174341807,0.0,0.0,0.0
Toungo,7.970231879689382,11.815377703768403,0.0,0.0,0.0
Shani,10.182428094901185,11.941645028842805,0.0,0.0,0.0
Yunusari,13.096106172227355,11.806980662496835,1.0,0.0,0.0
Ganye,8.427012316527701,12.016671321561743,0.0,0.0,0.0
Jada,8.672864957733188,12.437510294080507,0.0,0.0,0.0
Bali,8.140913823020588,10.977939162752113,0.0,0.0,0.0
Shelleng,9.895092347472547,12.106009460438068,0.0,0.0,0.0
Bayo,10.425328204492367,11.7017719682597,0.0,0.0,0.0
Maiduguri,11.83599933554382,13.127566463563667,0.0,0.0,0.0
Gujba,11.391697135137429,11.970985207487772,14.0,72.0,1.3
Nangere,11.828760402566239,10.990171349095569,0.0,0.0,0.0
Ganjuwa,10.743255002167306,10.007750528748852,0.0,0.0,0.0
Nganzai,12.473136442008038,13.147069456706767,7.0,19.0,0.4
Song,9.822700459836792,12.621215276513762,0.0,0.0,0.0
Damaturu,11.853137576103334,12.03369228507227,5.0,12.0,0.2
Geidam,12.679613902326167,12.1102935546009,7.0,36.0,0.6
Tarmuwa,12.262912799818812,11.822707203858663,2.0,103.0,1.7
Madagali,10.814769718131831,13.521528336354791,2.0,4.0,0.1
Michika,10.579892457433482,13.409940763934017,0.0,0.0,0.0
Mubi North,10.35547744858292,13.3519465336108,0.0,0.0,0.0
Hong,10.307207097003936,12.928461400561794,0.0,0.0,0.0
Kwaya Kusar,10.47161632746035,11.887612023421674,0.0,0.0,0.0
Bade,12.723849443835308,10.929913727775872,0.0,0.0,0.0
Bama,11.51818984453688,14.00557012852552,22.0,153.0,2.7
Bursari,12.71476411328801,11.437356398900652,1.0,3.0,0.1
Marte,12.40538735445531,13.840729782220047,14.0,201.0,3.4
Zaki,12.24269606808387,10.39193251621664,0.0,0.0,0.0
Shira,11.464253983324468,10.01860152645385,0.0,0.0,0.0
Dass,9.996576937477995,9.488511563741733,0.0,0.0,0.0
Kirfi,10.409802318879654,10.5270192076534,0.0,0.0,0.0
Itas/Gadau,11.852620666544313,10.034523746341618,0.0,0.0,0.0
Warji,11.14238319635691,9.757623386849808,0.0,0.0,0.0
Katagum,11.660138423280406,10.338719360309437,0.0,0.0,0.0
Bogoro,9.630448681638539,9.60982431450675,0.0,0.0,0.0
Fika,11.346998090218069,11.252296513236484,1.0,1.0,0.0
Gamawa,12.037267626713797,10.612458028450371,0.0,0.0,0.0
Wukari,7.9736854966724495,9.810389063055002,0.0,0.0,0.0
Ningi,11.029236431289583,9.231207195266995,0.0,0.0,0.0
Kurmi,7.202073858983788,10.618793366746628,0.0,0.0,0.0
Giade,11.408710021727154,10.250939836509282,0.0,0.0,0.0
Misau,11.381836862839407,10.48360370451067,0.0,0.0,0.0
Ibi,8.345478540294401,9.806928645551057,0.0,0.0,0.0
Karasuwa,12.978044111579925,10.764622091519108,0.0,0.0,0.0
Toro,10.410174683395809,9.224994673010185,0.0,0.0,0.0
Darazo,11.138871167086261,10.629917268325125,0.0,0.0,0.0
Jakusko,12.462106767057026,10.916008999915249,0.0,0.0,0.0
Yusufari,13.185288102520301,10.868365735174907,0.0,0.0,0.0
Gassol,8.472692659602888,10.556183332638906,0.0,0.0,0.0
Dukku,10.786427008045665,10.86131348013339,0.0,0.0,0.0
Abadam,13.403915324158572,13.31838126041076,9.0,187.0,3.1
Sardauna,6.84480166464208,11.241195459118092,0.0,0.0,0.0
Demsa,9.398547926624795,12.009207727968313,1.0,8.0,0.1
Mafa,11.987785561183173,13.551113752751107,7.0,31.0,0.6
Akko,10.107728892892226,11.037840587419975,0.0,0.0,0.0
Funakaye,10.78622098485004,11.37519016452107,0.0,0.0,0.0
Balanga,9.83804126169377,11.651198762935682,0.0,0.0,0.0
Gombe,10.30263174723392,11.185487553842748,0.0,0.0,0.0
Billiri,9.830801895323361,11.123329867798152,0.0,0.0,0.0
Magumeri,12.193611265751198,12.647606923888205,2.0,0.0,0.0
Kwami,10.494878069355346,11.183485407770807,0.0,0.0,0.0
Kaltungo,9.854563213657626,11.418743738697792,0.0,0.0,0.0
Yamaltu/Deba,10.262523071868287,11.472512742392269,0.0,0.0,0.0
Nafada,11.036425829011213,11.209068547460141,0.0,0.0,0.0
Konduga,11.615053587757702,13.11436365656945,14.0,75.0,1.3
Jere,11.946763374133631,13.167110276849463,0.0,0.0,0.0
